"SAMPLE","IDHSPID","IDHSHID","DHSID","CASEID","PERWEIGHT","AWFACTT","DVWEIGHT","AGE","RESIDENT","WEIGHTFEM","HHKIDLT5","WEALTHQ","EDYRTOTAL","TIMESINCESEXD","DVFEARFQ","DVPMSEVER","ALFREQ"
8346,"   8346       1   7  2","   8346       1   7","TZ201500000001","          1   7  2",1.644808,100,1.162413,44,1,501,1,2,7,0,1,0,99
8346,"   8346       1  13  2","   8346       1  13","TZ201500000001","          1  13  2",1.644808,100,1.162413,28,1,486,2,3,7,0,0,0,99
8346,"   8346       1  18  2","   8346       1  18","TZ201500000001","          1  18  2",1.644808,100,1.162413,41,1,426,1,1,4,7,1,0,99
8346,"   8346       1  30  2","   8346       1  30","TZ201500000001","          1  30  2",1.644808,100,2.324826,35,1,477,1,2,7,4,0,0,99
8346,"   8346       1  30  3","   8346       1  30","TZ201500000001","          1  30  3",1.644808,100,0,16,1,502,1,2,7,99,9,9,99
8346,"   8346       1  36  2","   8346       1  36","TZ201500000001","          1  36  2",1.644808,100,2.324826,34,1,478,4,1,7,14,1,0,99
8346,"   8346       1  36  3","   8346       1  36","TZ201500000001","          1  36  3",1.644808,100,0,36,1,453,4,1,7,5,9,9,99
8346,"   8346       1  41  1","   8346       1  41","TZ201500000001","          1  41  1",1.644808,100,1.162413,45,1,1011,0,2,0,31,0,0,99
8346,"   8346       1  47  2","   8346       1  47","TZ201500000001","          1  47  2",1.644808,100,1.162413,48,1,495,2,3,7,0,0,0,99
8346,"   8346       1  53  2","   8346       1  53","TZ201500000001","          1  53  2",1.644808,100,1.162413,32,1,511,3,3,7,4,0,0,99
8346,"   8346       1  59  2","   8346       1  59","TZ201500000001","          1  59  2",1.644808,100,2.324826,41,1,473,1,2,7,1,0,0,99
8346,"   8346       1  70  2","   8346       1  70","TZ201500000001","          1  70  2",1.644808,100,1.162413,38,1,724,1,3,7,1,0,0,99
8346,"   8346       1  76  2","   8346       1  76","TZ201500000001","          1  76  2",1.644808,100,1.162413,18,1,483,0,4,7,0,0,0,99
8346,"   8346       1  82  3","   8346       1  82","TZ201500000001","          1  82  3",1.644808,100,0,15,1,467,0,2,5,99,9,9,99
8346,"   8346       1  99  2","   8346       1  99","TZ201500000001","          1  99  2",1.644808,100,1.162413,19,1,522,0,2,7,1,0,0,99
8346,"   8346       1 105  2","   8346       1 105","TZ201500000001","          1 105  2",1.644808,100,1.162413,30,1,499,1,2,0,31,0,0,99
8346,"   8346       1 111  2","   8346       1 111","TZ201500000001","          1 111  2",1.644808,100,1.162413,23,1,562,1,2,7,1,0,0,99
8346,"   8346       1 117  3","   8346       1 117","TZ201500000001","          1 117  3",1.644808,100,1.162413,17,1,566,2,1,7,4,0,0,99
8346,"   8346       2  16  2","   8346       2  16","TZ201500000002","          2  16  2",1.668235,100,1.17897,22,1,532,1,3,7,1,0,0,99
8346,"   8346       2  25  2","   8346       2  25","TZ201500000002","          2  25  2",1.668235,100,1.17897,35,1,480,2,1,7,3,2,0,99
8346,"   8346       2  59  2","   8346       2  59","TZ201500000002","          2  59  2",1.668235,100,1.17897,19,1,475,2,3,7,31,0,0,99
